goos: darwin
goarch: arm64
pkg: github.com/VictoriaMetrics/VictoriaLogs/app/vlinsert/insertutil
cpu: Apple M3
BenchmarkAddInsertRow/fields=100/recordIdentity=off-8               	  863192	      1226 ns/op	     399 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=off-8               	  864805	      1248 ns/op	       0 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=off-8               	  872570	      1237 ns/op	     395 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=off-8               	  880136	      1244 ns/op	     391 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=off-8               	  886876	      1223 ns/op	     388 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=off-8               	  852600	      1260 ns/op	     404 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=off-8               	  873513	      1230 ns/op	     394 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=off-8               	  913162	      1184 ns/op	       0 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100/recordIdentity=off-8               	  835298	      1244 ns/op	     412 B/op	       0 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=on-8                 	 2105012	       567.8 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=on-8                 	 2127166	       563.4 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=on-8                 	 2103874	       582.2 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=on-8                 	 2119348	       591.1 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=on-8                 	 2130831	       564.1 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=on-8                 	 2113136	       561.8 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=on-8                 	 2035245	       563.3 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=on-8                 	 1982343	       590.1 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=on-8                 	 2115984	       595.0 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=on-8                 	 2075113	       592.5 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=off-8                	 2579293	       473.6 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=off-8                	 2625769	       459.1 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=off-8                	 2621167	       459.4 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=off-8                	 2588876	       460.5 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=off-8                	 2569620	       459.4 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=off-8                	 2564715	       467.6 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=off-8                	 2610108	       461.2 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=off-8                	 2657335	       450.3 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=off-8                	 2666629	       450.8 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor/recordIdentity=off-8                	 2611671	       451.3 ns/op	     464 B/op	       8 allocs/op
PASS
ok  	github.com/VictoriaMetrics/VictoriaLogs/app/vlinsert/insertutil	294.909s
